Longitude,Latitude,AEP_50%_in,AEP_20%_in,AEP_10%_in,AEP_4%_in,AEP_2%_in,AEP_1%_in
-116.1,44.2,,,,,,
-114.7888,44.2,,,,,,
-113.4776,44.2,,,,,,
-112.1664,44.2,,,,,,
-110.8552,44.2,,,,,,
-109.5441,44.2,,,,,,
-108.2329,44.2,,,,,,
-106.9217,44.2,,,,,,
-105.6105,44.2,,,,,,
-104.2993,44.2,,,,,,
-116.1,45.1009,,,,,,
-114.7888,45.1009,,,,,,
-113.4776,45.1009,1.37,1.75,2.0,2.31,2.54,2.76
-112.1664,45.1009,1.16,1.5,1.73,2.03,2.25,2.47
-110.8552,45.1009,1.2,1.54,1.78,2.1,2.35,2.61
-109.5441,45.1009,1.66,2.2,2.59,3.11,3.52,3.95
-108.2329,45.1009,1.2,1.7,2.06,2.55,2.95,3.37
-106.9217,45.1009,1.65,2.34,2.83,3.49,4.01,4.56
-105.6105,45.1009,1.71,2.38,2.85,3.47,3.95,4.46
-104.2993,45.1009,1.75,2.39,2.85,3.46,3.93,4.42
-116.1,46.0018,,,,,,
-114.7888,46.0018,,,,,,
-113.4776,46.0018,1.63,2.07,2.36,2.72,2.99,3.25
-112.1664,46.0018,1.19,1.54,1.77,2.07,2.3,2.52
-110.8552,46.0018,1.57,2.03,2.36,2.78,3.11,3.45
-109.5441,46.0018,1.63,2.29,2.77,3.42,3.94,4.49
-108.2329,46.0018,1.45,2.08,2.54,3.17,3.68,4.22
-106.9217,46.0018,1.62,2.32,2.83,3.51,4.06,4.63
-105.6105,46.0018,1.64,2.32,2.8,3.44,3.95,4.48
-104.2993,46.0018,1.81,2.49,2.97,3.6,4.09,4.59
-116.1,46.9027,,,,,,
-114.7888,46.9027,1.5,1.89,2.14,2.46,2.69,2.93
-113.4776,46.9027,1.27,1.64,1.9,2.23,2.48,2.74
-112.1664,46.9027,1.22,1.61,1.89,2.25,2.54,2.84
-110.8552,46.9027,1.53,2.03,2.39,2.87,3.25,3.65
-109.5441,46.9027,1.91,2.65,3.19,3.95,4.56,5.22
-108.2329,46.9027,1.46,2.1,2.57,3.23,3.77,4.35
-106.9217,46.9027,1.53,2.19,2.66,3.31,3.84,4.39
-105.6105,46.9027,1.63,2.29,2.76,3.4,3.91,4.44
-104.2993,46.9027,1.71,2.36,2.82,3.43,3.91,4.41
-116.1,47.8036,,,,,,
-114.7888,47.8036,1.45,1.87,2.16,2.54,2.83,3.12
-113.4776,47.8036,1.84,2.42,2.83,3.38,3.81,4.26
-112.1664,47.8036,1.42,1.92,2.28,2.77,3.16,3.58
-110.8552,47.8036,1.44,1.95,2.33,2.84,3.25,3.69
-109.5441,47.8036,1.42,2.02,2.47,3.11,3.64,4.22
-108.2329,47.8036,1.62,2.33,2.86,3.62,4.25,4.94
-106.9217,47.8036,1.5,2.1,2.53,3.12,3.6,4.11
-105.6105,47.8036,1.68,2.32,2.77,3.38,3.87,4.38
-104.2993,47.8036,1.7,2.34,2.79,3.4,3.88,4.39
-116.1,48.7045,,,,,,
-114.7888,48.7045,1.51,1.95,2.25,2.64,2.93,3.23
-113.4776,48.7045,2.09,2.89,3.46,4.26,4.9,5.58
-112.1664,48.7045,1.47,2.05,2.48,3.07,3.54,4.05
-110.8552,48.7045,1.32,1.8,2.16,2.63,3.01,3.42
-109.5441,48.7045,1.41,1.99,2.42,3.04,3.55,4.11
-108.2329,48.7045,1.53,2.16,2.64,3.31,3.87,4.48
-106.9217,48.7045,1.42,1.96,2.34,2.86,3.26,3.69
-105.6105,48.7045,1.61,2.21,2.63,3.2,3.64,4.11
-104.2993,48.7045,1.66,2.31,2.78,3.41,3.92,4.45
